시간,매수가,매도가,수량,손익,비고
2024-07-05 09:33:30,1431,1433,40,28,업빗매도-빗썸매수
2024-07-05 15:55:28,1433,1436,18.9,32,업빗매도-빗썸매수
2024-07-05 15:55:29,1433,1436,18.9,32,업빗매도-빗썸매수
2024-07-05 15:55:30,1433,1436,2,4,업빗매도-빗썸매수
2024-07-05 15:55:31,1433,1435,2,2,업빗매도-빗썸매수
2024-07-05 15:55:32,1433,1435,2,2,업빗매도-빗썸매수
2024-07-05 15:55:33,1433,1435,2,2,업빗매도-빗썸매수
2024-07-05 15:55:34,1433,1436,2,4,업빗매도-빗썸매수
2024-07-05 15:55:35,1433,1436,2,4,업빗매도-빗썸매수
2024-07-05 15:55:36,1433,1436,2,4,업빗매도-빗썸매수
2024-07-05 15:55:37,1433,1436,2,4,업빗매도-빗썸매수
2024-07-05 15:57:05,1434,1436,2,2,업빗매도-빗썸매수
2024-07-05 15:57:06,1434,1436,2,2,업빗매도-빗썸매수
2024-07-05 15:57:07,1434,1436,2,2,업빗매도-빗썸매수
2024-07-05 15:57:08,1434,1436,2,2,업빗매도-빗썸매수
2024-07-05 15:57:09,1434,1436,2,2,업빗매도-빗썸매수
2024-07-05 15:57:10,1434,1436,2,2,업빗매도-빗썸매수
2024-07-05 15:57:11,1434,1436,2,2,업빗매도-빗썸매수
